# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=64 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
163000,7425,0,12172,5880,6292,0,76,33,16,16,16,14152656,393216,14479360,7425,7409,0
164012,7472,0,12180,5888,6292,0,76,33,16,16,16,14157072,393216,14479360,7472,7456,0
165018,7518,0,12180,5888,6292,0,76,33,16,16,16,14161488,393216,14479360,7518,7502,0
166013,7564,0,12184,5892,6292,0,76,33,16,16,16,14165904,393216,14479360,7564,7548,0
167015,7610,0,12184,5892,6292,0,76,33,16,16,16,14170224,393216,14479360,7610,7594,0
168019,7656,0,12192,5900,6292,0,76,33,16,16,16,14174640,393216,14479360,7656,7640,0
169012,7701,0,12196,5904,6292,0,76,33,16,16,16,14179248,393216,14479360,7701,7685,0
170019,7746,0,12224,5932,6292,0,76,33,16,16,16,14183680,393216,14479360,7746,7730,0
171008,7790,0,12236,5944,6292,0,76,33,16,16,16,14188192,393216,14479360,7790,7774,0
172002,7835,0,12244,5952,6292,0,76,33,16,16,16,14192512,393216,14479360,7835,7819,0
173021,7881,0,12256,5964,6292,0,76,33,16,16,16,14197312,393216,14479360,7881,7865,0
174009,7926,0,12256,5964,6292,0,76,33,16,16,16,14201616,393216,14479360,7926,7910,0
175010,7972,0,12256,5964,6292,0,76,33,16,16,16,14206032,393216,14479360,7972,7956,0
176009,8018,0,12272,5980,6292,0,76,33,16,16,16,14210448,393216,14479360,8018,8002,0
177016,8064,0,12288,5996,6292,0,76,33,16,16,16,14214864,393216,14479360,8064,8048,0
178017,8110,0,12288,5996,6292,0,76,33,16,16,16,14219280,393216,14479360,8110,8094,0
179010,8156,0,12292,6000,6292,0,76,33,16,16,16,14223696,393216,14479360,8156,8140,0
180014,8202,0,12292,6000,6292,0,76,33,16,16,16,14228112,393216,14479360,8202,8186,0
181010,8248,0,12292,6000,6292,0,76,33,16,16,16,14232528,393216,14479360,8248,8232,0
182016,8294,0,12296,6004,6292,0,76,33,16,16,16,14236944,393216,14614528,8294,8278,0
183002,8339,0,12300,6008,6292,0,76,33,16,16,16,14241264,393216,14614528,8339,8323,0
184009,8385,0,12300,6008,6292,0,76,33,16,16,16,14245680,393216,14614528,8385,8369,0
185009,8431,0,12312,6020,6292,0,76,33,16,16,16,14250096,393216,14614528,8431,8415,0
186015,8477,0,12320,6028,6292,0,76,33,16,16,16,14254512,393216,14614528,8477,8461,0
187010,8521,0,12328,6036,6292,0,76,33,16,16,16,14258736,393216,14614528,8521,8505,0
188015,8567,0,12340,6048,6292,0,76,33,16,16,16,14263152,393216,14614528,8567,8551,0
189008,8612,0,12344,6052,6292,0,76,33,16,16,16,14267472,393216,14614528,8612,8596,0
190001,8657,0,12348,6056,6292,0,76,33,16,16,16,14271792,393216,14614528,8657,8641,0
191018,8703,0,12360,6068,6292,0,76,33,16,16,16,14276208,393216,14614528,8703,8687,0
192006,8748,0,12376,6084,6292,0,76,33,16,16,16,14280544,393216,14614528,8748,8732,0
193001,8793,0,12376,6084,6292,0,76,33,16,16,16,14285328,393216,14614528,8793,8777,0
194003,8838,0,12384,6092,6292,0,76,33,16,16,16,14289648,393216,14614528,8838,8822,0
195009,8884,0,12388,6096,6292,0,76,33,16,16,16,14294064,393216,14614528,8884,8868,0
196009,8930,0,12392,6100,6292,0,76,33,16,16,16,14298480,393216,14614528,8930,8914,0
197007,8975,0,12404,6112,6292,0,76,33,16,16,16,14302896,393216,14614528,8975,8959,0
198016,9021,0,12416,6124,6292,0,76,33,16,16,16,14307600,393216,14614528,9021,9005,0
199002,9066,0,12428,6136,6292,0,76,33,16,16,16,14311920,393216,14614528,9066,9050,0
200008,9112,0,12440,6148,6292,0,76,33,16,16,16,14316336,393216,14614528,9112,9096,0
201014,9158,0,12440,6148,6292,0,76,33,16,16,16,14320752,393216,14614528,9158,9142,0
202020,9204,0,12440,6148,6292,0,76,33,16,16,16,14325168,393216,14614528,9204,9188,0
203011,9249,0,12452,6160,6292,0,76,33,16,16,16,14329312,393216,14614528,9249,9233,0
204009,9295,0,12464,6172,6292,0,76,33,16,16,16,14333632,393216,14614528,9295,9279,0
205015,9341,0,12464,6172,6292,0,76,33,16,16,16,14338144,393216,14614528,9341,9325,0
206001,9386,0,12464,6172,6292,0,76,33,16,16,16,14342464,393216,14614528,9386,9370,0
207001,9432,0,12476,6184,6292,0,76,33,16,16,16,14346880,393216,14614528,9432,9416,0
208005,9478,0,12476,6184,6292,0,76,33,16,16,16,14351296,393216,14614528,9478,9462,0
209018,9524,0,12484,6192,6292,0,76,33,16,16,16,14355712,393216,14761984,9524,9508,0
210020,9569,0,12496,6204,6292,0,76,33,16,16,16,14360032,393216,14761984,9569,9553,0
211009,9614,0,12496,6204,6292,0,76,33,16,16,16,14364352,393216,14761984,9614,9598,0
212005,9659,0,12500,6208,6292,0,76,33,16,16,16,14368672,393216,14761984,9659,9643,0
213004,9705,0,12512,6220,6292,0,76,33,16,16,16,14373088,393216,14761984,9705,9689,0
214002,9751,0,12512,6220,6292,0,76,33,16,16,16,14377504,393216,14761984,9751,9735,0
